target,gr_code,lddt,tm_score,gdt_ts,inf_all,TM_align,inf_stack,inf_wc,inf_nwc,lddt_no_checks,global_rmsd,clashscore,clashes_number,Z_lddt,Z_tm_score,Z_gdt_ts,Z_inf_all,Z_TM_align,Z_inf_stack,Z_inf_wc,Z_inf_nwc,Z_lddt_no_checks,Z_global_rmsd,Z_clashscore,Z_clashes_number,Z_CASP15,Z_CASP16_t33_g33_l33,Z_CASP16_t30_g30_l40,Z_CASP16_t25_g25_l50,Z_CASP16_t20_g20_l60,Z_topo,Z_rmsd_inf
R1203,elofsson - 241,0.829,0.633,0.55,0.91,0.673,0.89,0.98,0.92,0.829,8.45,4.4,0.0,0.9547513890149505,0.9917670803497405,0.9395575350035377,0.7989444147301402,0.8886045285015666,0.8862476980425901,0.5145981371581151,0.6858497015056149,0.9030758615525636,0.6561152566248712,0.2526373089591956,0.28146513431780396,0.8775805153996971,0.9620253347894095,0.9612979402119637,0.9602068483457948,0.9591157564796259,0.9656623076766391,0.7275298356775057
R1203,falcon2 - S 208,0.393,0.457,0.43,0.81,0.482,0.78,0.93,0.64,0.655,9.68,51.42,35.0,-3.0073816804486366,-1.3482547866505683,-0.8643929322032522,-0.7357510711921642,-1.2401960580227107,-1.029686631829829,-0.4260651243137072,-0.8194356291147835,-0.9159901231069432,0.30333053988883313,-4.394200135559838,-3.1363257823983868,-1.3102002335353151,-1.7400097997674857,-1.866746987835601,-2.056852769937773,-2.246958552039946,-1.1063238594269102,-0.21621026565166554
R1203,isyslab-hust - 235,0.819,0.595,0.52,0.9,0.677,0.87,0.99,0.88,0.819,9.13,3.71,0.0,0.8638767773300058,0.48653508633830966,0.48856991820184,0.6454748661379096,0.9331867397376771,0.5378960017021498,0.7027307894524799,0.47080893998841494,0.7985318394456953,0.461079803469988,0.32082782016119765,0.28146513431780396,0.5322714913914336,0.6129939272900518,0.6380822122940473,0.6757146398000403,0.7133470673060334,0.48755250227007485,0.5532773348039488
R1203,kiharalab_server - S 267,0.684,0.53,0.45,0.84,0.566,0.81,0.91,0.87,0.684,12.21,3.47,0.0,-0.3629304804167464,-0.37767753499703094,-0.5637345210021204,-0.2753424254154741,-0.30396962206439054,-0.5071590873191688,-0.802330428902437,0.417048749609115,-0.612812458997025,-0.4223160725844811,0.34454625884015483,0.28146513431780396,-0.3961111909812665,-0.4347808454719659,-0.42759580896644395,-0.41681825420816104,-0.40604069944987814,-0.47070602799957567,-0.3488292489999776
R1203,thermomaps - 169,0.461,0.202,0.19,0.67,0.335,0.67,0.82,0.19,0.475,17.53,4.17,1.0,-2.389434320991013,-4.738627378043061,-4.47229386661683,-2.8843247514833914,-2.8785923209497715,-2.9456209617022484,-2.495524299551721,-3.2386441961832806,-2.7977825210305722,-1.9481816766785642,0.275367479359863,0.18381396526876992,-3.757623200670887,-3.8667851885503013,-3.7190501017943722,-3.4974474716604793,-3.275844841526586,-4.605460622329946,-2.416253214080978
R1205,406 - 159,0.459,0.34,0.41,0.67,0.3,0.72,0.68,0.2,0.473,9.76,14.21,1.0,0.6479656420476401,0.6239696506658858,0.6643828723691705,0.40609916527977113,-0.8433925340140396,0.09330016583643264,-0.1035362495796953,0.20623631094241743,0.5298598933283754,0.8457334793440296,-1.0597892491594418,0.043622810223968245,0.4581299525744169,0.6454393883608988,0.645692013729573,0.6460709517825841,0.6464498898355953,0.6441762615175282,0.6259163223119004
R1205,998,0.473,0.3535,0.432,,0.3445,,,,0.483,10.853,,1.0,0.9341607917856984,0.9669098157695621,1.260623911674837,,0.48884263000915135,,,,0.7707052993867284,0.19303325486175366,,0.043622810223968245,,1.0538981730766992,1.0419244349475991,1.0239638277539491,1.006003220560299,1.1137668637221996,
R1205,999,0.456,0.3128,0.4,,0.3045,,,,0.48,11.222,,1.0,0.586638109960913,-0.06699127458004203,0.3933642181393236,,-0.7086721241689976,,,,0.6984516775692226,-0.02732025184818201,,0.043622810223968245,,0.30433701784006484,0.3325671270521497,0.3749122908702769,0.41725745468840414,0.1631864717796408,
R1205,AF3-server - S 304,0.457,0.348,0.42,0.69,0.362,0.75,0.71,0.25,0.491,10.13,5.8,3.0,0.6070806206564887,0.8271934522088045,0.9354015265990189,0.8005954972658319,1.0127553349620924,0.7730585169304375,0.2625383471485145,0.5943153906727726,0.9633816242334109,0.6247828086592696,0.009095369263483019,-0.7415877738074598,0.8087867472286365,0.7898918664881038,0.7716107419049425,0.7441890550302002,0.7167673681554579,0.8812974894039116,0.7126891529625508
R1205,B-LAB - 231,0.413,0.315,0.37,0.65,0.309,0.71,0.67,0.2,0.413,12.69,0.53,0.0,-0.2923898499488412,-0.01110472915573956,-0.4196917445502215,0.011602833293708122,-0.5739517143239556,-0.13328595119490233,-0.22556111515576568,0.20623631094241743,-0.9152125430217416,-0.9039569668893358,0.6788958376450304,0.4362281022396822,-0.19997538514757196,-0.24106210788493407,-0.2461948820913248,-0.2538940434009109,-0.26159320471049696,-0.21539823685298054,-0.4461770667978138
R1205,BRIQX - 238,0.456,0.264,0.32,0.64,0.252,0.72,0.63,0.16,0.457,11.94,6.84,0.0,0.586638109960913,-1.3066564639918539,-1.774785015699462,-0.18564533269932337,-2.2804102390278187,0.09330016583643264,-0.7136605774600473,-0.10422695284186685,0.14450724363501183,-0.4560839857715801,-0.12308536832983942,0.4362281022396822,-1.0425465350576306,-0.8316011232434675,-0.6897771999230295,-0.47704131494237245,-0.26430542996171535,-1.540720739845658,-0.3208646592354517
