#Model         Gr.Code  ICS(F1)   Prec.Iface  Recal.Iface  IPS        QSglob   QSbest   lDDT       ilDDT      GDT_TS     RMSD       TMscore    TMalign    GlobDockQ    BestDockQ  Mol.Size  Stoich.  MDL.Conts  REF.Conts  MDL.Clash  ICS_Interfaces                           ICS_perInterface

R0251TS262_5o  262      0.000     0.000      0.000       0.029      0.000    0.000    0.137      0.000      0.004      102.901    0.107      0.035      -            -          4        A4       979        1211       2          -                                        [None, None, None, None, None, None, None, None, None, None, None, 0.019, 0.045, None, None, None, None, None, None, None, None, None, None, None, 0.028, 0.0, None, None] 
R0251TS304_5o  304s     0.000     0.000      0.000       0.034      0.001    0.002    0.082      0.001      0.004      93.445     0.086      0.032      -            -          3        A3       922        1211       2845       -                                        [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.042, None, 0.041, None, None, None, None] 
R0251TS241_3o  241      0.000     0.000      0.000       0.041      0.000    0.000    0.099      0.000      0.005      104.010    0.082      0.033      -            -          3        A3       519        1211       360        -                                        [None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.05, None, None, None, None, None, None, None, None, None, None, None, None, None] 
R0251TS241_1o  241      0.000     0.000      0.000       0.027      0.000    0.000    0.099      0.000      0.005      97.564     0.087      0.039      -            -          3        A3       103        1211       410        -                                        [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, 0.085, None, 0.057, None, None, None, None, None] 
R0251TS110_4o  110s     0.000     0.000      0.000       0.031      0.001    0.001    0.118      0.001      0.004      100.954    0.107      0.033      -            -          4        A4       573        1211       1369       -                                        [None, None, None, None, None, None, None, 0.043, None, 0.0, None, 0.0, 0.0, None, None, None, None, None, None, None, None, None, None, None, None, 0.023, None, None] 
R0251TS028_5o  028s     0.000     0.000      0.000       0.052      0.000    0.000    0.120      0.001      0.004      101.110    0.103      0.033      -            -          4        A4       365        1211       1283       -                                        [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.048, 0.0, 0.028] 
R0251TS304_4o  304s     0.000     0.000      0.000       0.049      0.000    0.000    0.093      0.000      0.004      104.724    0.087      0.032      -            -          3        A3       345        1211       759        -                                        [None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.024, 0.062, None, None, None, None, None, None, None, None, None, None, 0.031, None] 
R0252TS208_2o  208s     0.038     0.048      0.032       0.100      0.000    0.001    0.289      0.020      0.013      70.300     0.160      0.089      0.025        0.126      4        A4       229        345        316        -                                        [0.121, None, 0.051, 0.0, None, None, 0.042, None, None, None, 0.116, None] 
R0252TS208_5o  208s     0.015     0.016      0.014       0.083      0.000    0.000    0.283      0.008      0.013      71.458     0.164      0.096      0.026        0.132      4        A4       320        345        473        -                                        [0.0, None, None, 0.052, None, 0.074, 0.0, None, None, None, None, 0.0] 
R0252TS208_1o  208s     0.013     0.027      0.009       0.093      0.000    0.000    0.277      0.003      0.013      65.922     0.165      0.094      0.008        0.042      4        A4       156        345        427        -                                        [0.117, 0.0, None, 0.0, 0.122, None, 0.0, None, None, None, None, None] 
R0252TS028_5o  028s     0.012     0.010      0.014       0.054      0.000    0.000    0.139      0.012      0.012      71.936     0.087      0.053      0.100        0.100      2        A2       506        345        84         -                                        [None, None, None, 0.028, None, None, None, None, None, None, None, None] 
R0252TS167_5o  167      0.000     0.000      0.000       0.014      0.000    0.000    0.141      0.000      0.011      66.086     0.089      0.062      0.002        0.002      2        A2       44         345        222        -                                        [None, None, None, 0.096, None, None, None, None, None, None, None, None] 
R0252TS462_4o  462      0.000     0.000      0.000       0.043      0.000    0.000    0.137      0.000      0.016      67.905     0.104      0.067      0.002        0.002      2        A2       511        345        73         -                                        [None, None, None, 0.0, None, None, None, None, None, None, None, None] 
R0252TS262_4o  262      0.000     0.000      0.000       0.044      0.000    0.000    0.146      0.000      0.013      68.301     0.102      0.044      0.002        0.002      2        A2       626        345        0          -                                        [None, None, None, 0.002, None, None, None, None, None, None, None, None] 
R0252TS110_5o  110s     0.000     0.000      0.000       0.051      0.000    0.000    0.138      0.000      0.011      60.943     0.097      0.056      0.003        0.003      2        A2       552        345        91         -                                        [None, None, None, 0.011, None, None, None, None, None, None, None, None] 
R0252TS110_2o  110s     0.000     0.000      0.000       0.019      0.000    0.000    0.142      0.000      0.012      68.868     0.097      0.064      0.002        0.002      2        A2       296        345        109        -                                        [None, None, None, 0.0, None, None, None, None, None, None, None, None] 
R0252TS462_3o  462      0.000     0.000      0.000       0.068      0.000    0.000    0.133      0.000      0.012      74.205     0.082      0.043      0.002        0.002      2        A2       618        345        156        -                                        [None, None, None, 0.029, None, None, None, None, None, None, None, None] 
R0252TS294_1o  294      0.000     0.000      0.000       0.041      0.000    0.000    0.153      0.000      0.012      66.186     0.099      0.061      0.002        0.002      2        A2       233        345        114        -                                        [None, None, None, 0.0, None, None, None, None, None, None, None, None] 
R0252TS450_4o  450s     0.000     0.000      0.000       0.044      0.000    0.000    0.208      0.000      0.013      61.885     0.152      0.100      0.004        0.012      3        A3       122        345        365        -                                        [None, None, 0.0, 0.0, None, None, None, None, None, None, 0.045, None] 
R0252TS462_1o  462      0.000     0.000      0.000       0.034      0.000    0.000    0.145      0.000      0.013      72.984     0.099      0.060      0.004        0.004      2        A2       411        345        102        -                                        [None, None, None, 0.0, None, None, None, None, None, None, None, None] 
R0252TS294_3o  294      0.000     0.000      0.000       0.027      0.000    0.000    0.145      0.000      0.013      64.981     0.114      0.060      0.001        0.001      2        A2       170        345        147        -                                        [None, None, None, 0.0, None, None, None, None, None, None, None, None] 
R0252TS028_2o  028s     0.000     0.000      0.000       0.021      0.000    0.000    0.145      0.000      0.012      58.375     0.113      0.065      0.001        0.001      2        A2       154        345        120        -                                        [None, None, None, 0.0, None, None, None, None, None, None, None, None] 
R0252TS028_4o  028s     0.000     0.000      0.000       0.038      0.000    0.000    0.137      0.000      0.012      70.862     0.095      0.058      0.002        0.002      2        A2       456        345        80         -                                        [None, None, None, 0.0, None, None, None, None, None, None, None, None] 
R0252TS450_2o  450s     0.000     0.000      0.000       0.015      0.000    0.000    0.270      0.000      0.012      66.843     0.159      0.099      0.002        0.011      4        A4       431        345        435        -                                        [0.0, None, 0.008, 0.0, None, None, 0.0, None, None, None, 0.0, None] 
R0252TS462_5o  462      0.000     0.000      0.000       0.019      0.000    0.000    0.142      0.000      0.012      68.868     0.097      0.064      0.002        0.002      2        A2       296        345        109        -                                        [None, None, None, 0.0, None, None, None, None, None, None, None, None] 
R0252TS167_3o  167      0.000     0.000      0.000       0.065      0.000    0.000    0.267      0.000      0.013      66.784     0.182      0.121      0.003        0.017      4        A4       412        345        665        -                                        [0.0, None, 0.024, 0.0, None, None, 0.037, None, None, None, 0.0, None] 
R0252TS167_2o  167      0.000     0.000      0.000       0.015      0.000    0.000    0.270      0.000      0.012      66.843     0.159      0.099      0.002        0.011      4        A4       431        345        435        -                                        [0.0, None, 0.008, 0.0, None, None, 0.0, None, None, None, 0.0, None] 
R0252TS262_2o  262      0.000     0.000      0.000       0.044      0.000    0.000    0.146      0.000      0.013      68.301     0.102      0.044      0.002        0.002      2        A2       626        345        0          -                                        [None, None, None, 0.002, None, None, None, None, None, None, None, None] 
R0252TS028_3o  028s     0.000     0.000      0.000       0.052      0.000    0.000    0.137      0.000      0.012      74.164     0.096      0.053      0.005        0.005      2        A2       484        345        128        -                                        [None, None, None, 0.0, None, None, None, None, None, None, None, None] 
R0252TS262_1o  262      0.000     0.000      0.000       0.087      0.000    0.000    0.299      0.004      0.012      70.151     0.159      0.091      0.004        0.022      4        A4       291        345        1          -                                        [0.0, None, None, 0.238, None, 0.205, 0.022, None, None, None, None, 0.015] 
R0252TS110_1o  110s     0.000     0.000      0.000       0.068      0.000    0.000    0.133      0.000      0.012      74.205     0.082      0.043      0.002        0.002      2        A2       618        345        156        -                                        [None, None, None, 0.029, None, None, None, None, None, None, None, None] 
