interface_type,model,target,ics_naive_mean,ics_mean,ics_log10_mean,ips_naive_mean,ips_mean,ips_log10_mean,ilddt_naive_mean,ilddt_mean,ilddt_log10_mean
protein-protein,M0268TS167_3,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.015523286991062564,0.017397196261682246,0.01630983329501344
NA-containing,M0268TS167_3,M0268,0.0,0.0,0.0,0.022799999999999997,0.016744186046511626,0.020319129718549062,0.17325155947791981,0.165,0.17011560528965144
all,M0268TS167_4,M0268,0.0,0.0,0.0,0.006454545454545454,0.0036787564766839376,0.00530856363509764,0.08695687058608739,0.08345077720207253,0.08548379763056517
NA-NA,M0268TS167_4,M0268,,,,,,,,,
NA-protein,M0268TS167_4,M0268,0.0,0.0,0.0,0.014199999999999999,0.008255813953488372,0.011781381504352454,0.17031266529648548,0.16305232558139535,0.16733039376154676
protein-protein,M0268TS167_4,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.017493708327422332,0.01947196261682243,0.018358803129913073
NA-containing,M0268TS167_4,M0268,0.0,0.0,0.0,0.014199999999999999,0.008255813953488372,0.011781381504352454,0.17031266529648548,0.16305232558139535,0.16733039376154676
all,M0268TS167_5,M0268,0.0,0.0,0.0,0.006636363636363637,0.00583419689119171,0.006217591677242157,0.09270919679316121,0.08975906735751295,0.09142452215932731
NA-NA,M0268TS167_5,M0268,,,,,,,,,
NA-protein,M0268TS167_5,M0268,0.0,0.0,0.0,0.014600000000000002,0.013093023255813952,0.013798802203965517,0.1782326879956248,0.17262790697674418,0.1756424636485978
protein-protein,M0268TS167_5,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.02143962079110821,0.023154205607476636,0.022354711971049605
NA-containing,M0268TS167_5,M0268,0.0,0.0,0.0,0.014600000000000002,0.013093023255813952,0.013798802203965517,0.1782326879956248,0.17262790697674418,0.1756424636485978
all,M0268TS231_1,M0268,0.0,0.0,0.0,0.03263636363636364,0.021935233160621764,0.028076065120400128,0.13408879034321602,0.12752849740932642,0.13139939128114358
NA-NA,M0268TS231_1,M0268,,,,,,,,,
NA-protein,M0268TS231_1,M0268,0.0,0.0,0.0,0.0718,0.049226744186046514,0.06230966737170765,0.26632654176259407,0.2544767441860465,0.2613868075855261
protein-protein,M0268TS231_1,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.023890664160401004,0.02549532710280374,0.024792580282893623
NA-containing,M0268TS231_1,M0268,0.0,0.0,0.0,0.0718,0.049226744186046514,0.06230966737170765,0.26632654176259407,0.2544767441860465,0.2613868075855261
all,M0268TS241_1,M0268,0.0,0.0,0.0,0.00818181818181818,0.00782642487046632,0.007900047188689743,0.12530258873412986,0.12060880829015545,0.12332816770295818
NA-NA,M0268TS241_1,M0268,,,,,,,,,
NA-protein,M0268TS241_1,M0268,0.0,0.0,0.0,0.018,0.017563953488372093,0.017532703049273905,0.25530312574793956,0.2469418604651163,0.2517649362720677
protein-protein,M0268TS241_1,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.016968807889288437,0.019070093457943922,0.017993092190641873
NA-containing,M0268TS241_1,M0268,0.0,0.0,0.0,0.018,0.017563953488372093,0.017532703049273905,0.25530312574793956,0.2469418604651163,0.2517649362720677
all,M0268TS241_2,M0268,0.0,0.0,0.0,0.029999999999999995,0.020347150259067356,0.02587613310528861,0.1317225962101769,0.12584715025906734,0.1292973722907547
NA-NA,M0268TS241_2,M0268,,,,,,,,,
NA-protein,M0268TS241_2,M0268,0.0,0.0,0.0,0.06599999999999999,0.04566279069767441,0.057427322516253924,0.26119790715111096,0.25076162790697676,0.2567921649151949
protein-protein,M0268TS241_2,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.023826503759398498,0.025448598130841125,0.024734841185837866
NA-containing,M0268TS241_2,M0268,0.0,0.0,0.0,0.06599999999999999,0.04566279069767441,0.057427322516253924,0.26119790715111096,0.25076162790697676,0.2567921649151949
all,M0268TS241_3,M0268,0.0,0.0,0.0,0.0034545454545454545,0.0052176165803108805,0.004043730549675782,0.12483643950110569,0.11995077720207252,0.12276472907609207
NA-NA,M0268TS241_3,M0268,,,,,,,,,
NA-protein,M0268TS241_3,M0268,0.0,0.0,0.0,0.0076,0.011709302325581395,0.008974316892719889,0.25628648269190624,0.24768023255813953,0.2526444984670195
protein-protein,M0268TS241_3,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.015294736842105264,0.017289719626168223,0.016246202732491933
NA-containing,M0268TS241_3,M0268,0.0,0.0,0.0,0.0076,0.011709302325581395,0.008974316892719889,0.25628648269190624,0.24768023255813953,0.2526444984670195
all,M0268TS241_4,M0268,0.05954545454545455,0.07636010362694301,0.06622093307179974,0.08109090909090909,0.08478238341968912,0.08234294660338233,0.21518267158035317,0.23491450777202075,0.22270009761553047
NA-NA,M0268TS241_4,M0268,,,,,,,,,
NA-protein,M0268TS241_4,M0268,0.131,0.17136627906976745,0.14696519241757447,0.1712,0.1829418604651163,0.17531955445739444,0.3555810645955172,0.37851162790697684,0.3645364039526179
